Scientific Name	Common Name	Species Code	Population Code	Lead Region	Federal Listing Status	Where Listed
Dendroica petechia petechia	Barbados yellow warbler (=wood)	B03H	V01	Foreign	Endangered	Entire
Dermatemys mawii	Central American river turtle	C04H	V01	Foreign	Endangered	Entire
Dermochelys coriacea	Leatherback sea turtle	C00F	V01	4	Endangered	Entire
Desmocerus californicus dimorphus	Valley elderberry longhorn beetle	I01L	I01	8	Threatened	Entire
Dicerandra christmanii	Garrett's mint	Q2RL	P01	4	Endangered	
Dicerandra cornutissima	Longspurred mint	Q2OH	P01	4	Endangered	
Dicerandra frutescens	Scrub mint	Q1VE	P01	4	Endangered	
Dicerandra immaculata	Lakela's mint	Q1VF	P01	4	Endangered	
Dicerorhinus sumatrensis	Sumatran rhinoceros	A026	V01	Foreign	Endangered	Bangladesh to Vietnam to Indonesia (Borneo)
Diceros bicornis	Black rhinoceros	A081	V01	Foreign	Endangered	Sub-Saharan Africa
Diellia erecta	Asplenium-leaved diellia	S00P	P01	1	Endangered	
Dinacoma caseyi	Casey's June Beetle	I0TG	I01	8	Endangered	Entire
Diomedia amsterdamensis	Amsterdam Albatross	B09J	V01	Foreign	Endangered	Entire
Dionda diaboli	Devils River minnow	E03V	V01	2	Threatened	Entire
Diplacus vandenbergensis	Vandenberg monkeyflower	Q3NC	P01	8	Endangered	
Diplazium molokaiense	No common name	S00R	P01	1	Endangered	
Dipodomys heermanni morroensis	Morro Bay kangaroo rat	A03X	V01	8	Endangered	Entire
Dipodomys ingens	Giant kangaroo rat	A08P	V01	8	Endangered	Entire
Dipodomys merriami parvus	San Bernardino Merriam's kangaroo rat	A0G8	V01	8	Endangered	Entire
Dipodomys nitratoides exilis	Fresno kangaroo rat	A08O	V01	8	Endangered	Entire
Dipodomys nitratoides nitratoides	Tipton kangaroo rat	A08S	V01	8	Endangered	Entire
Dipodomys stephensi (incl. D. cascus)	Stephens' kangaroo rat	A08Q	V01	8	Endangered	Entire
Discoglossus nigriventer	Israel painted frog	D002	V01	Foreign	Endangered	Entire
Discus macclintocki	Iowa Pleistocene snail	G00T	I01	3	Endangered	Entire
Dodecahema leptoceras	Slender-horned spineflower	Q2T6	P01	8	Endangered	
Doryopteris angelica	No common name	S02H	P01	1	Endangered	
Doryopteris takeuchii	No common name	S028	P01	1	Endangered	
Drepanoptila holosericea	Cloven-feathered dove	B01B	V01	Foreign	Endangered	Entire
Dromus dromas	Dromedary pearlymussel	F00K	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Drosophila aglaia	[Unnamed] pomace fly	I0QW	I01	1	Endangered	Entire
Drosophila differens	Hawaiian picture-wing fly	I0RE	I01	1	Endangered	Entire
Drosophila digressa	Hawaiian picture-wing fly	I0QY	I01	1	Endangered	Entire
Drosophila hemipeza	[Unnamed] pomace fly	I0RC	I01	1	Endangered	Entire
Drosophila heteroneura	[Unnamed] pomace fly	I0QZ	I01	1	Endangered	Entire
Drosophila montgomeryi	[Unnamed] pomace fly	I0R0	I01	1	Endangered	Entire
Drosophila mulli	[Unnamed] pomace fly	I0R1	I01	1	Threatened	Entire
Drosophila musaphilia	[Unnamed] pomace fly	I0R2	I01	1	Endangered	Entire
Drosophila neoclavisetae	Hawaiian picture-wing fly	I0R3	I01	1	Endangered	Entire
Drosophila obatai	[Unnamed] pomace fly	I0R4	I01	1	Endangered	Entire
Drosophila ochrobasis	[Unnamed] pomace fly	I0RD	I01	1	Endangered	Entire
Drosophila sharpi	Hawaiian picture-wing fly	I0QX	I01	1	Endangered	Entire
Drosophila substenoptera	[Unnamed] pomace fly	I0R5	I01	1	Endangered	Entire
Drosophila tarphytrichia	[Unnamed] pomace fly	I0R6	I01	1	Endangered	Entire
Drymarchon corais couperi	Eastern indigo snake	C026	V01	4	Threatened	Entire
Dryocopus javensis richardsi	Tristam's woodpecker	B03R	V01	Foreign	Endangered	Entire
Dryopteris crinalis var. podosorus	Palapalai aumakua	S02I	P01	1	Endangered	
Dubautia herbstobatae	Na`ena`e	Q2T8	P01	1	Endangered	
Dubautia imbricata imbricata	Na`ena`e	Q32N	P01	1	Endangered	
Dubautia kalalauensis	Naenae	Q3MV	P01	1	Endangered	
Dubautia kenwoodii	Naenae	Q3MW	P01	1	Endangered	
Dubautia latifolia	Koholapehu	Q1VK	P01	1	Endangered	
Dubautia pauciflorula	Na`ena`e	Q32P	P01	1	Endangered	
Dubautia plantaginea magnifolia	Na`ena`e	Q3H3	P01	1	Endangered	
Dubautia plantaginea ssp. humilis	Na`ena`e	Q32Q	P01	1	Endangered	
Dubautia waialealae	Na`ena`e	Q0O6	P01	1	Endangered	
Ducula galeata	Marquesas pigeon	B0CT	V01	Foreign	Endangered	Entire
Ducula mindorensis	Mindoro imperial (=zone-tailed) pigeon	B05H	V01	Foreign	Endangered	Entire
Dudleya abramsii ssp. parva	Conejo dudleya	Q0O7	P01	8	Threatened	
Dudleya cymosa ssp. marcescens	Marcescent dudleya	Q0OC	P01	8	Threatened	
Dudleya cymosa ssp. ovatifolia	Santa Monica Mountains dudleyea	Q3AK	P01	8	Threatened	
Dudleya nesiotica	Santa Cruz Island dudleya	Q0OF	P01	8	Threatened	
Dudleya setchellii	Santa Clara Valley dudleya	Q32V	P01	8	Endangered	
Dudleya stolonifera	Laguna Beach liveforever	Q0OH	P01	8	Threatened	
Dudleya traskiae	Santa Barbara Island liveforever	Q1VT	P01	8	Endangered	
Dudleya verityi	Verity's dudleya	Q2OM	P01	8	Threatened	
Dugong dugon	Dugong	A033	V01	Foreign	Endangered	Entire, except Palau
Dugong dugon	Dugong	A033	V02	Foreign	Endangered	Entire.
Echinacea laevigata	Smooth coneflower	Q293	P01	4	Endangered	
Echinocactus horizonthalonius var. nicholii	Nichol's Turk's head cactus	Q1VV	P01	2	Endangered	
Echinocereus chisoensis var. chisoensis	Chisos Mountain hedgehog Cactus	Q294	P01	2	Threatened	
Echinocereus fendleri var. kuenzleri	Kuenzler hedgehog cactus	Q1VW	P01	2	Endangered	
Echinocereus reichenbachii var. albertii	Black lace cactus	Q1VY	P01	2	Endangered	
Echinocereus triglochidiatus var. arizonicus	Arizona hedgehog cactus	Q1VZ	P01	2	Endangered	
Echinocereus viridiflorus var. davisii	Davis' green pitaya	Q1W0	P01	2	Endangered	
Echinomastus erectocentrus var. acunensis	Acuna Cactus	Q0OU	P01	2	Endangered	
Echinomastus mariposensis	Lloyd's Mariposa cactus	Q1W2	P01	2	Threatened	
Egretta eulophotes	Chinese egret	B01G	V01	Foreign	Endangered	Entire
Elaphoglossum serpens	No common name	S01U	P01	4	Endangered	
Elaphrus viridis	Delta green ground beetle	I01G	I01	8	Threatened	Entire
Elassoma alabamae	Spring pygmy sunfish	E05B	V01	4	Threatened	Entire
Elephas maximus	Asian elephant	A059	V01	Foreign	Endangered	Entire
Eleutherodactylus cooki	Guajon	D00X	V01	4	Threatened	Entire
Eleutherodactylus jasperi	Golden coqui	D00D	V01	4	Threatened	Entire
Eleutherodactylus juanariveroi	Llanero Coqui	D03V	V01	4	Endangered	Entire
Elimia crenatella	Lacy elimia (snail)	G063	I01	4	Threatened	Entire
Elliptio chipolaensis	Chipola slabshell	F03O	I01	4	Threatened	Entire
Elliptio spinosa	Altamaha Spinymussel	F026	I01	4	Endangered	Entire
Elliptio steinstansana	Tar River spinymussel	F015	I01	4	Endangered	Entire
Elliptoideus sloatianus	Purple bankclimber (mussel)	F02E	I01	4	Threatened	Entire
Emballonura semicaudata rotensis	Pacific sheath-tailed Bat	A0I9	V01	1	Endangered	Entire
Emoia slevini	Slevin's skink	C07T	V01	1	Endangered	Entire
Empetrichthys latos	Pahrump poolfish	E007	V01	8	Endangered	Entire
Empidonax euleri johnstonei	Euler's flycatcher	B01J	V01	Foreign	Endangered	Entire
Empidonax traillii extimus	Southwestern willow flycatcher	B094	V01	2	Endangered	Entire
Enceliopsis nudicaulis var. corrugata	Ash Meadows sunray	Q297	P01	8	Threatened	
Enhydra lutris kenyoni	Northern Sea Otter	A0HK	V01	7	Threatened	Southwest Alaska, from Attu Island to Western Cook Inlet, including Bristol Bay, the Kodiak Archipelago, and the Barren Islands
Enhydra lutris nereis	Southern sea otter	A0A7	V01	8	Threatened	Entire
Epicrates inornatus	Puerto Rican boa	C00P	V01	4	Endangered	Entire
Epicrates monensis granti	Virgin Islands tree boa	C02E	V01	4	Endangered	Entire
Epicrates monensis monensis	Mona boa	C01Q	V01	4	Threatened	Entire
Epicrates subflavus	Jamaican boa	C003	V01	Foreign	Endangered	Entire
Epioblasma brevidens	Cumberlandian combshell	F01F	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Epioblasma capsaeformis	Oyster mussel	F01T	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Epioblasma florentina curtisii	Curtis pearlymussel	F00J	I01	3	Endangered	Entire
Epioblasma florentina florentina	Yellow blossom (pearlymussel)	F005	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Epioblasma florentina walkeri (=E. walkeri)	Tan riffleshell	F010	I01	4	Endangered	Entire
Epioblasma metastriata	Upland combshell	F02F	I01	4	Endangered	Entire
Epioblasma obliquata obliquata	Purple Cat's paw (=Purple Cat's paw pearlymussel)	F006	I01	3	Endangered	Wherever found; Except where listed as Experimental Populations
Epioblasma obliquata perobliqua	White catspaw (pearlymussel)	F007	I01	3	Endangered	Entire
Epioblasma othcaloogensis	Southern acornshell	F02D	I01	4	Endangered	Entire
Epioblasma penita	Southern combshell	F012	I01	4	Endangered	Entire
Epioblasma torulosa gubernaculum	Green blossom (pearlymussel)	F002	I01	4	Endangered	Entire
Epioblasma torulosa rangiana	Northern riffleshell	F02Z	I01	5	Endangered	Entire
Epioblasma torulosa torulosa	Tubercled blossom (pearlymussel)	F003	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Epioblasma triquetra	Snuffbox mussel	F03J	I01	3	Endangered	Entire
Epioblasma turgidula	Turgid blossom (pearlymussel)	F004	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Equus africanus	African wild ass	A00M	V01	Foreign	Endangered	Entire
Equus grevyi	Grevy's zebra	A077	V01	Foreign	Threatened	Entire
Equus hemionus	Asian wild ass	A00N	V01	Foreign	Endangered	Entire
Equus przewalskii	Przewalski's horse	A05E	V01	Foreign	Endangered	Mongolia, China
Equus zebra hartmannae	Hartmann's mountain zebra	A078	V01	Foreign	Threatened	Entire
Equus zebra zebra	Mountain zebra	A06A	V01	Foreign	Endangered	Entire
Eragrostis fosbergii	Fosberg's love grass	Q0PH	P01	1	Endangered	
Eremalche kernensis	Kern mallow	Q2TD	P01	8	Endangered	
Eremichthys acros	Desert dace	E03C	V01	8	Threatened	Entire
Eremophila alpestris strigata	Streaked Horned lark	B0B3	V01	1	Threatened	Entire
Eretmochelys imbricata	Hawksbill sea turtle	C00E	V01	4	Endangered	Entire
Eriastrum densifolium ssp. sanctorum	Santa Ana River woolly-star	Q29A	P01	8	Endangered	
Erigeron decumbens	Willamette daisy	Q2TF	P01	1	Endangered	
Erigeron parishii	Parish's daisy	Q29D	P01	8	Threatened	
Erigeron rhizomatus	Zuni fleabane	Q1W4	P01	2	Threatened	
Erignathus barbatus nauticus	bearded Seal	A0KM	V03	NMFS	Threatened	Okhotsk DPS - See 50 CFR 223.102
Erimonax monachus	Spotfin Chub	E012	V01	4	Threatened	Entire, except where listed as an experimental population
Erimystax cahni	Slender chub	E01X	V01	4	Threatened	Entire
Erinna newcombi	Newcomb's snail	G0C0	I01	1	Threatened	Entire
Eriocnemis nigrivestis	black-breasted puffleg	B0GF	V01	Foreign	Endangered	Entire
Eriodictyon altissimum	Indian Knob mountain balm	Q1W5	P01	8	Endangered	
Eriodictyon capitatum	Lompoc yerba santa	Q0QR	P01	8	Endangered	
Eriogonum apricum (incl. var. prostratum)	Ione (incl. Irish Hill) buckwheat	Q0QW	P01	8	Endangered	
Eriogonum codium	Umtanum Desert buckwheat	Q3HN	P01	1	Threatened	Entire
Eriogonum gypsophilum	Gypsum wild-buckwheat	Q1W7	P01	2	Threatened	
Eriogonum kennedyi var. austromontanum	Southern mountain wild-buckwheat	Q0S7	P01	8	Threatened	
Eriogonum longifolium var. gnaphalifolium	Scrub buckwheat	Q29N	P01	4	Threatened	
Eriogonum ovalifolium var. vineum	Cushenbury buckwheat	Q1W8	P01	8	Endangered	
Eriogonum ovalifolium var. williamsiae	Steamboat buckwheat	Q2OR	P01	8	Endangered	
Eriogonum pelinophilum	Clay-Loving wild buckwheat	Q29P	P01	6	Endangered	
Eriophyllum latilobum	San Mateo woolly sunflower	Q2TK	P01	8	Endangered	
Eryngium aristulatum var. parishii	San Diego button-celery	Q1W9	P01	8	Endangered	
Eryngium constancei	Loch Lomond coyote thistle	Q29S	P01	8	Endangered	
Eryngium cuneifolium	Snakeroot	Q29T	P01	4	Endangered	
Erysimum capitatum var. angustatum	Contra Costa wallflower	Q1WA	P01	8	Endangered	Entire
Erysimum menziesii	Menzies' wallflower	Q29W	P01	8	Endangered	
Erysimum teretifolium	Ben Lomond wallflower	Q29X	P01	8	Endangered	
Erythronium propullans	Minnesota dwarf trout lily	Q2A1	P01	3	Endangered	
Eschrichtius robustus	Gray whale	A02P	V01	NMFS	Endangered	Western North Pacific DPS — See 50 CFR 224.101
Etheostoma boschungi	Slackwater darter	E01B	V01	4	Threatened	Entire
Etheostoma chermocki	Vermilion darter	E098	V01	4	Endangered	Entire
Etheostoma chienense	Relict darter	E086	V01	4	Endangered	Entire
Etheostoma etowahae	Etowah darter	E089	V01	4	Endangered	Entire
Etheostoma fonticola	Fountain darter	E00T	V01	2	Endangered	Entire
Etheostoma moorei	Yellowcheek Darter	E01E	V01	4	Endangered	Entire
Etheostoma nianguae	Niangua darter	E02B	V01	3	Threatened	Entire
Etheostoma nuchale	Watercress darter	E00U	V01	4	Endangered	Entire
Etheostoma okaloosae	Okaloosa darter	E00H	V01	4	Threatened	Entire
Etheostoma percnurum	Duskytail darter	E078	V01	4	Endangered	Entire
Etheostoma phytophilum	Rush Darter	E0AB	V01	4	Endangered	Entire
Etheostoma rubrum	Bayou darter	E01S	V01	4	Threatened	Entire
Etheostoma scotti	Cherokee darter	E03J	V01	4	Threatened	Entire
Etheostoma sellare	Maryland darter	E003	V01	5	Endangered	Entire
Etheostoma sp.	Bluemask (=jewel) Darter	E076	V01	4	Endangered	Entire
Etheostoma susanae	Cumberland darter	E05R	V01	4	Endangered	Entire
Etheostoma wapiti	Boulder darter	E05P	V01	4	Endangered	Entire
Eubalaena australis	Southern Right Whale	A0K7	V01	NMFS	Endangered	Entire
Eubalaena glacialis	North Atlantic Right Whale	A02R	V01	NMFS	Endangered	Entire
Eubalaena japonica	North Pacific Right Whale	A0K6	V01	NMFS	Endangered	Entire
Eucyclogobius newberryi	Tidewater goby	E071	V01	8	Endangered	Entire
Eudyptes chrysocome	southern rockhopper penguin	B0FC	V01	Foreign	Threatened	New Zealand-Australia DPS, associated with the Campbell Plateau and Macquarie Island
Eudyptes pachyrhynchus	fiordland crested penguin	B0FF	V01	Foreign	Threatened	Entire
Eudyptes sclateri	erect-crested penguin	B0FH	V01	Foreign	Threatened	Entire
Eudyptula albosignata	white-flippered penguin	B0FK	V01	Foreign	Threatened	Entire
Eugenia bryanii	No common name	Q3OW	P01	1	Endangered	
Eugenia haematocarpa	Uvillo	Q2A2	P01	4	Endangered	
Eugenia koolauensis	Nioi	Q33F	P01	1	Endangered	
Eugenia woodburyana	No common name	Q3D7	P01	4	Endangered	
Eulidia yarrellii	Chilean woodstar	B0CY	V01	Foreign	Endangered	Entire
Eumeces egregius lividus	Bluetail mole skink	C03T	V01	4	Threatened	Entire
Eumetopias jubatus	Steller sea lion	A0FS	V02	NMFS	Endangered	Western DPS - See 50 CFR 224.101
Eumops floridanus	Florida bonneted bat	A0JB	V01	4	Endangered	Entire
Euphilotes battoides allyni	El Segundo blue butterfly	I00C	I01	8	Endangered	Entire
Euphilotes enoptes smithi	Smith's blue butterfly	I00R	I01	8	Endangered	Entire
Euphorbia celastroides var. kaenana	`Akoko	Q1U7	P01	1	Endangered	
Euphorbia deppeana	`Akoko	Q1U8	P01	1	Endangered	
Euphorbia eleanoriae	`Akoko	Q3HH	P01	1	Endangered	
Euphorbia haeleeleana	`Akoko	Q0UD	P01	1	Endangered	
Euphorbia halemanui	'Akoko	Q1UA	P01	1	Endangered	
Euphorbia herbstii	`Akoko	Q3GN	P01	1	Endangered	
Euphorbia kuwaleana	`Akoko	Q30T	P01	1	Endangered	
Euphorbia remyi var. kauaiensis	`Akoko	Q1UC	P01	1	Endangered	
Euphorbia remyi var. remyi	`Akoko	Q1UD	P01	1	Endangered	
Euphorbia rockii	`Akoko	Q3GO	P01	1	Endangered	
Euphorbia skottsbergii var. skottsbergii	Ewa Plains `akoko	Q1UE	P01	1	Endangered	
Euphorbia telephioides	Telephus spurge	Q2A5	P01	4	Threatened	
Euphydryas editha bayensis	Bay checkerspot butterfly	I021	I01	8	Threatened	Entire
Euphydryas editha quino (=E. e. wrighti)	Quino checkerspot butterfly	I00P	I01	8	Endangered	Entire
Euphydryas editha taylori	Taylor's (=whulge) Checkerspot	I0T6	I01	1	Endangered	Entire
Euphyllia paradivisa	No common name	P00F	I01	NMFS	Threatened	Entire
Euproserpinus euterpe	Kern primrose sphinx moth	I01C	I01	8	Threatened	Entire
Eurycea chisholmensis	Salado Salamander	D02X	V01	2	Threatened	Entire
Eurycea nana	San Marcos salamander	D00I	V01	2	Threatened	Entire
Eurycea naufragia	Georgetown Salamander	D02S	V01	2	Threatened	Entire
Eurycea sosorum	Barton Springs salamander	D010	V01	2	Endangered	Entire
Eurycea tonkawae	Jollyville Plateau Salamander	D02T	V01	2	Threatened	Entire
Eurycea waterlooensis	Austin blind Salamander	D033	V01	2	Endangered	Entire
Eutrema penlandii	Penland alpine fen mustard	Q1WG	P01	6	Threatened	
Eutrichomyias rowleyi	Caerulean Paradise flycatcher	B0B9	V01	Foreign	Endangered	Entire
Eutriorchis astur	Madagascar serpent eagle	B09M	V01	Foreign	Endangered	Entire
Exocarpos luteolus	Heau	Q2A6	P01	1	Endangered	
Falco araea	Seychelles kestrel	B01Y	V01	Foreign	Endangered	Entire
Falco femoralis septentrionalis	northern aplomado falcon	B06V	V01	2	Endangered	Entire, except where listed as an experimental population
Falco peregrinus peregrinus	Eurasian peregrine falcon	B050	V01	Foreign	Endangered	Entire
Falco punctatus	Mauritius kestrel	B01X	V01	Foreign	Endangered	Entire
Felis jacobita	Andean cat	A04V	V01	Foreign	Endangered	Entire
Felis margarita scheffeli	Pakistan sand cat	A0A0	V01	Foreign	Endangered	Entire
Felis nigripes	Black-footed cat	A04W	V01	Foreign	Endangered	Entire
Felis pardina	Spanish lynx	A01M	V01	Foreign	Endangered	Entire
Festuca molokaiensis	No common name	Q3O5	P01	1	Endangered	Entire
Fitzroya cupressoides	Chilean false larch	R004	P01	Foreign	Threatened	
Flueggea neowawraea	Mehamehame	Q33K	P01	1	Endangered	
Formicivora erythronotos	Black hooded (black-headed) antwren	B0D2	V01	Foreign	Endangered	Entire
Foudia flavicans	Rodrigues fody	B09P	V01	Foreign	Endangered	Entire
Foudia rubra	Mauritius fody	B09O	V01	Foreign	Endangered	Entire
Foudia sechellarum	Seychelles fody (weaver-finch)	B01M	V01	Foreign	Endangered	Entire
Francolinus ochropectus	Djibouti francolin	B09Q	V01	Foreign	Endangered	Entire
Fregata andrewsi	Andrew's frigatebird	B051	V01	Foreign	Endangered	Entire
Fremontodendron californicum ssp. decumbens	Pine Hill flannelbush	Q0V1	P01	8	Endangered	
Fremontodendron mexicanum	Mexican flannelbush	Q2OZ	P01	8	Endangered	
Fritillaria gentneri	Gentner's Fritillary	Q0V6	P01	1	Endangered	Entire
Fulica americana alai	Hawaiian coot	B04G	V01	1	Endangered	Entire
Fusconaia burkei	Tapered pigtoe	F03W	I01	4	Threatened	Entire
Fusconaia cor	Shiny pigtoe	F00Q	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Fusconaia cuneolus	Finerayed pigtoe	F00O	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Fusconaia escambia	Narrow pigtoe	F02T	I01	4	Threatened	Entire
Fusconaia rotulata	Round Ebonyshell	F02G	I01	4	Endangered	Entire
Galactia smallii	Small's milkpea	Q2RJ	P01	4	Endangered	
Galium buxifolium	Island bedstraw	Q0VF	P01	8	Endangered	
Galium californicum ssp. sierrae	El Dorado bedstraw	Q0VG	P01	8	Endangered	
Gallinula chloropus guami	Mariana common moorhen	B062	V01	1	Endangered	Entire
Gallinula chloropus sandvicensis	Hawaiian common gallinule	B00H	V01	1	Endangered	Entire
Gallirallus (=Tricholimnas) sylvestris	Lord Howe wood rail	B05M	V01	Foreign	Endangered	Entire
Gallotia simonyi simonyi	Hierro giant lizard	C034	V01	Foreign	Endangered	Entire
Gambelia silus	Blunt-nosed leopard lizard	C001	V01	8	Endangered	Entire
Gambusia gaigei	Big Bend gambusia	E004	V01	2	Endangered	Entire
Gambusia georgei	San Marcos gambusia	E021	V01	2	Endangered	Entire
Gambusia heterochir	Clear Creek gambusia	E005	V01	2	Endangered	Entire
Gambusia nobilis	Pecos gambusia	E00V	V01	2	Endangered	Entire
Gammarus acherondytes	Illinois cave amphipod	K021	I01	3	Endangered	Entire
Gammarus desperatus	Noel's Amphipod	K023	I01	2	Endangered	Entire
Gammarus hyalleloides	Diminutive Amphipod	K020	I01	2	Endangered	Entire
Gammarus pecos	Pecos amphipod	K024	I01	2	Endangered	Entire
Gardenia brighamii	Hawaiian gardenia (=Na`u)	Q1WJ	P01	1	Endangered	
Gardenia mannii	Nanu	Q3GR	P01	1	Endangered	
Gasterosteus aculeatus williamsoni	Unarmored threespine stickleback	E00X	V01	8	Endangered	Entire
Gaura neomexicana var. coloradensis	Colorado Butterfly plant	Q0VV	P01	6	Threatened	
Gavialis gangeticus	Gavial	C009	V01	Foreign	Endangered	Entire
Gazella cuvieri	Mountain (=Cuvier's) gazelle	A012	V01	Foreign	Endangered	Morocco, Algeria, Tunisia
Gazella dama	Dama gazelle	A0G4	V01	Foreign	Endangered	North Africa
Gazella dama lozanoi	Rio de Oro Dama gazelle	A015	V01	Foreign	Endangered	Entire
Gazella dama mhorr	Mhorr gazelle	A013	V01	Foreign	Endangered	Entire
Gazella dorcas massaesyla	Moroccan gazelle	A014	V01	Foreign	Endangered	Morocco, Algeria, Tunisia
Gazella dorcas pelzelni	Pelzeln's gazelle	A07M	V01	Foreign	Endangered	Somalia
Gazella dorcas saudiya	Saudi Arabian gazelle	A07O	V01	Foreign	Endangered	Israel, Iraq, Jordan, Syria, Arabian Peninsula
Gazella gazella	Arabian gazelle	A07L	V01	Foreign	Endangered	Arabian Peninsula, Palestine, Sinai
Gazella leptoceros	Slender-horned gazelle	A016	V01	Foreign	Endangered	Sudan, Egypt, Algeria, Libya
Gazella subgutturosa marica	Sand gazelle	A07N	V01	Foreign	Endangered	Jordan, Arabian Peninsula
Geocarpon minimum	No common name	Q1WK	P01	4	Threatened	
Geochelone nigra (=elephantopus)	Galapagos tortoise	C00I	V01	Foreign	Endangered	Entire
Geochelone radiata	Madagascar radiated tortoise	C00J	V01	Foreign	Endangered	Entire
Geochelone yniphora	Angulated tortoise	C01C	V01	Foreign	Endangered	Entire
Geoclemys hamiltonii	Spotted pond turtle	C01K	V01	Foreign	Endangered	Entire
Geopsittacus occidentalis	Night (=Australian) parrot	B02H	V01	Foreign	Endangered	Entire
Geranium arboreum	Nohoanu	Q1WL	P01	1	Endangered	
Geranium hanaense	Nohoanu	Q3HM	P01	1	Endangered	
Geranium hillebrandii	Nohoanu	Q3DB	P01	1	Endangered	
Geranium kauaiense	Nohoanu	Q33O	P01	1	Endangered	
Geranium multiflorum	Nohoanu	Q2AI	P01	1	Endangered	
Geronticus eremita	Northern bald ibis	B06B	V01	Foreign	Endangered	Entire
Gesneria pauciflora	No common name	Q2TT	P01	4	Threatened	
Geum radiatum	Spreading avens	Q1WM	P01	4	Endangered	
Gila bicolor ssp.	Hutton tui chub	E02S	V01	1	Threatened	Entire
Gila bicolor ssp. mohavensis	Mohave tui chub	E00Q	V01	8	Endangered	Entire
Gila bicolor ssp. snyderi	Owens Tui Chub	E02W	V01	8	Endangered	Entire
Gila boraxobius	Borax Lake chub	E027	V01	1	Endangered	Entire
Gila cypha	Humpback chub	E000	V01	6	Endangered	Entire
Gila ditaenia	Sonora chub	E029	V01	2	Threatened	Entire
Gila elegans	Bonytail chub	E020	V01	6	Endangered	Entire
Gila intermedia	Gila chub	E02P	V01	2	Endangered	Entire
Gila nigrescens	Chihuahua chub	E028	V01	2	Threatened	Entire
Gila purpurea	Yaqui chub	E034	V01	2	Endangered	Entire
Gila robusta jordani	Pahranagat roundtail chub	E00R	V01	8	Endangered	Entire
Gila seminuda (=robusta)	Virgin River Chub	E02A	V01	6	Endangered	Entire
Gilia tenuiflora ssp. arenaria	Monterey gilia	Q2AJ	P01	8	Endangered	
Gilia tenuiflora ssp. hoffmannii	Hoffmann's slender-flowered gilia	Q0WC	P01	8	Endangered	
Glaucomys sabrinus coloratus	Carolina northern flying squirrel	A09M	V01	4	Endangered	Entire
Glaucopsyche lygdamus palosverdesensis	Palos Verdes blue butterfly	I01B	I01	8	Endangered	Entire
Goetzea elegans	Beautiful goetzea	Q2AL	P01	4	Endangered	
Gonocalyx concolor	No common name	Q2TV	P01	4	Endangered	
Gopherus agassizii	Desert tortoise	C04L	V02	8	Similarity of Appearance to a Threatened Taxon	AZ south and east of Colorado River, and Mexico, when found outside of Mexico or said range in AZ
Gopherus agassizii	Desert tortoise	C04L	V05	8	Threatened	Entire, except AZ south and east of Colorado River, and Mexico
Gopherus flavomarginatus	Bolson tortoise	C02H	V01	Foreign	Endangered	Entire
Gopherus polyphemus	Gopher tortoise	C044	V01	4	Threatened	Wherever found west of Mobile and Tombigbee Rivers in AL, MS, and LA
Gorilla gorilla	Gorilla	A017	V01	Foreign	Endangered	Central and western Africa
Gouania hillebrandii	No common name	Q1WP	P01	1	Endangered	
Gouania meyenii	No common name	Q1WQ	P01	1	Endangered	
Gouania vitifolia	No common name	Q1WR	P01	1	Endangered	
Grallaria milleri	Brown-banded antpitta	B0BK	V01	Foreign	Endangered	Entire
Graptemys flavimaculata	Yellow-blotched map turtle	C025	V01	4	Threatened	Entire
Graptemys oculifera	Ringed map turtle	C022	V01	4	Threatened	Entire
Grindelia fraxinipratensis	Ash Meadows gumplant	Q2AM	P01	8	Threatened	
Grus americana	Whooping crane	B003	V01	2	Endangered	Entire, except where listed as an experimental population
Grus canadensis nesiotes	Cuba sandhill crane	B05U	V01	Foreign	Endangered	Entire
Grus canadensis pulla	Mississippi sandhill crane	B04I	V01	4	Endangered	Entire
Grus japonensis	Japanese Crane	B016	V01	Foreign	Endangered	Entire
Grus leucogeranus	Siberian white Crane	B03Z	V01	Foreign	Endangered	Entire
Grus monacha	Hooded Crane	B04U	V01	Foreign	Endangered	Entire
Grus nigricollis	Black-necked Crane	B04T	V01	Foreign	Endangered	Entire
Grus vipio	White-naped Crane	B04V	V01	Foreign	Endangered	Entire
Gymnobelideus leadbeateri	Leadbeater's Possum	A0FM	V01	Foreign	Endangered	Australia
Gymnoderma lineare	Rock gnome lichen	U001	P01	4	Endangered	
Gymnogyps californianus	California condor	B002	V01	8	Endangered	Entire, except where listed as an experimental population
Hackelia venusta	Showy stickseed	Q0XA	P01	1	Endangered	Entire
Haematopus meadewaldoi	Canarian black oystercatcher	B09W	V01	Foreign	Endangered	Entire
Haliaeetus albicilla groenlandicus	Greenland white-tailed eagle	B04Y	V01	Foreign	Endangered	Entire
Haliaeetus vociferoides	Madagascar sea eagle	B09N	V01	Foreign	Endangered	Entire
